Config: 
 {
  "model_save_path": "/tmp/",
  "model": "dnn",
  "loss": "ce",
  "model_name": "blip_mc_dnn_ce_mc",
  "dependency_meta": "",
  "timesteps": 10,
  "num_classes": 10,
  "rnn_config": {
    "ninp": 1,
    "nhid": 1000,
    "nlayers": 3,
    "nclasses": 10
  },
  "dnn_config": {
    "layers": [
      300,
      200,
      100,
      10
    ]
  },
  "batch_size": 32,
  "num_epochs": 100,
  "learning_rate": 0.001
}
Model: 
 Linear(
  (layers): ModuleList(
    (0): Linear(in_features=10, out_features=300, bias=True)
    (1): Linear(in_features=300, out_features=200, bias=True)
    (2): Linear(in_features=200, out_features=100, bias=True)
    (3): Linear(in_features=100, out_features=10, bias=True)
  )
  (sigmoid_activation): Sigmoid()
  (softmax_activation): Softmax(dim=-1)
)
Epoch[46/100] | Loss:0.0024 |Acc: 100.0000|Pred Confidence: 1.00 | C 0:0.9985 | C 1:0.9977 | C 2:0.9973| C 3:0.9972| C 4:0.9973| C 5:0.9975| C 6:0.9981| C 7:0.9977| C 8:0.9969| C 9:0.9974| C 10:nan| C 11:nan
Epoch[47/100] | Loss:0.0023 |Acc: 100.0000|Pred Confidence: 1.00 | C 0:0.9986 | C 1:0.9978 | C 2:0.9975| C 3:0.9974| C 4:0.9975| C 5:0.9976| C 6:0.9982| C 7:0.9978| C 8:0.9970| C 9:0.9975| C 10:nan| C 11:nan
Epoch[48/100] | Loss:0.0022 |Acc: 100.0000|Pred Confidence: 1.00 | C 0:0.9986 | C 1:0.9980 | C 2:0.9976| C 3:0.9975| C 4:0.9976| C 5:0.9977| C 6:0.9983| C 7:0.9979| C 8:0.9972| C 9:0.9977| C 10:nan| C 11:nan
Epoch[49/100] | Loss:0.0021 |Acc: 100.0000|Pred Confidence: 1.00 | C 0:0.9987 | C 1:0.9981 | C 2:0.9977| C 3:0.9976| C 4:0.9977| C 5:0.9979| C 6:0.9984| C 7:0.9980| C 8:0.9973| C 9:0.9978| C 10:nan| C 11:nan
Epoch[50/100] | Loss:0.0019 |Acc: 100.0000|Pred Confidence: 1.00 | C 0:0.9988 | C 1:0.9982 | C 2:0.9978| C 3:0.9978| C 4:0.9979| C 5:0.9980| C 6:0.9985| C 7:0.9981| C 8:0.9975| C 9:0.9979| C 10:nan| C 11:nan
Epoch[51/100] | Loss:0.0019 |Acc: 100.0000|Pred Confidence: 1.00 | C 0:0.9988 | C 1:0.9983 | C 2:0.9979| C 3:0.9979| C 4:0.9980| C 5:0.9981| C 6:0.9985| C 7:0.9982| C 8:0.9976| C 9:0.9980| C 10:nan| C 11:nan
Epoch[52/100] | Loss:0.0018 |Acc: 100.0000|Pred Confidence: 1.00 | C 0:0.9989 | C 1:0.9983 | C 2:0.9980| C 3:0.9980| C 4:0.9981| C 5:0.9982| C 6:0.9986| C 7:0.9983| C 8:0.9977| C 9:0.9981| C 10:nan| C 11:nan
Epoch[53/100] | Loss:0.0017 |Acc: 100.0000|Pred Confidence: 1.00 | C 0:0.9989 | C 1:0.9984 | C 2:0.9981| C 3:0.9981| C 4:0.9982| C 5:0.9983| C 6:0.9987| C 7:0.9984| C 8:0.9978| C 9:0.9982| C 10:nan| C 11:nan
Epoch[54/100] | Loss:0.0016 |Acc: 100.0000|Pred Confidence: 1.00 | C 0:0.9990 | C 1:0.9985 | C 2:0.9982| C 3:0.9982| C 4:0.9983| C 5:0.9984| C 6:0.9987| C 7:0.9985| C 8:0.9979| C 9:0.9983| C 10:nan| C 11:nan
Epoch[55/100] | Loss:0.0015 |Acc: 100.0000|Pred Confidence: 1.00 | C 0:0.9990 | C 1:0.9986 | C 2:0.9983| C 3:0.9983| C 4:0.9983| C 5:0.9984| C 6:0.9988| C 7:0.9986| C 8:0.9980| C 9:0.9984| C 10:nan| C 11:nan
