Config: 
 {
  "model_save_path": "./trained_models/burst10/",
  "model": "rnn",
  "loss": "ce",
  "model_name": "burst_frequency_rnn_ce",
  "dependency_meta": {
    "md5": "8978d00449be76a596fdb94c3fec4154",
    "timestamp": "2020-05-11 22:48:15.474477"
  },
  "timesteps": 10,
  "num_classes": 2,
  "rnn_config": {
    "ninp": 1,
    "nhid": 10,
    "nlayers": 1,
    "nclasses": 2
  },
  "dnn_config": {
    "layers": [
      50,
      20,
      2
    ]
  },
  "batch_size": 32,
  "num_epochs": 50,
  "learning_rate": 0.001
}
Model: 
 RNN(
  (rnn_cell): GRU(1, 10, batch_first=True)
  (fc1): Linear(in_features=10, out_features=2, bias=True)
)
Epoch [41/50] | Loss: 0.0013 |  Accuracy: 1.0000 | Prediction Confidence: 1.00 | Class 0:0.9987 | Class 1:0.9987
Epoch [42/50] | Loss: 0.0012 |  Accuracy: 1.0000 | Prediction Confidence: 1.00 | Class 0:0.9988 | Class 1:0.9988
Epoch [43/50] | Loss: 0.0011 |  Accuracy: 1.0000 | Prediction Confidence: 1.00 | Class 0:0.9988 | Class 1:0.9989
Epoch [44/50] | Loss: 0.0011 |  Accuracy: 1.0000 | Prediction Confidence: 1.00 | Class 0:0.9989 | Class 1:0.9989
Epoch [45/50] | Loss: 0.0010 |  Accuracy: 1.0000 | Prediction Confidence: 1.00 | Class 0:0.9990 | Class 1:0.9990
Epoch [46/50] | Loss: 0.0009 |  Accuracy: 1.0000 | Prediction Confidence: 1.00 | Class 0:0.9990 | Class 1:0.9991
Epoch [47/50] | Loss: 0.0009 |  Accuracy: 1.0000 | Prediction Confidence: 1.00 | Class 0:0.9991 | Class 1:0.9991
Epoch [48/50] | Loss: 0.0008 |  Accuracy: 1.0000 | Prediction Confidence: 1.00 | Class 0:0.9992 | Class 1:0.9992
Epoch [49/50] | Loss: 0.0008 |  Accuracy: 1.0000 | Prediction Confidence: 1.00 | Class 0:0.9992 | Class 1:0.9992
Epoch [50/50] | Loss: 0.0007 |  Accuracy: 1.0000 | Prediction Confidence: 1.00 | Class 0:0.9992 | Class 1:0.9993
Test Accuracy 100.0 | Confidence ({0: array([0.99919456], dtype=float32), 1: array([0.9992627], dtype=float32)}, 0.9992286)
